name,description,Action,Magic,Spirit,Special Slot A,Special Slot B,Special Slot C,Special Effect,Eye Color,Hit Points,Attack Points,Special Points,Spell Master,Background,Fairy Bottle
1final.png, Real Fairies in Bottles 1,Giggle,Earth,Dark,Cherries A #1,Watermellon B,777 C,"Lunar Luminescence 700 ap costs 4 sp: Moonbeam fairies harness the power of moonlight to create a blinding burst of radiant energy, temporarily blinding and disorienting their opponents.",Brown,1800,100 ...,17,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",dream_TradingCard (6).jpg,Ivy
2final.png, Real Fairies in Bottles 1,Heart,Dust,Nature,Cherries A #1,Watermellon B #1,777 C,"Love's Embrace 500 ap costs 3 sp: Heartbeat fairies have the power to envelop an opponent in a warm, soothing aura of love and affection, distracting them and making it difficult for them to focus on attacking.",Orange,1600,100 ...,18,"Vesper Nightshade (Oil): Within the dimly lit chambers of forgotten castles, I unearthed the ""Shadowstealer Elixir,"" a concoction born from shadows and oil. It granted me the power to fade into the inky blackness, stealing both sight and strength from my adversaries. A relic of an ancient oil mage, its secrets remained locked until my arrival. #1",dream_TradingCard (6).jpg,Lilya
3final.png, Real Fairies in Bottles 1,Giggle,Dust,Nature,Cherries A,Cherries B,777 C #2,"Ancient Insight 800 ap costs 4sp : Wisdom fairies can call upon the wisdom of their ancestors, gaining knowledge and guidance to make strategic moves. This ability enhances their decision",Orange,1200,100 ...,19,"Vesper Nightshade (Oil): Within the dimly lit chambers of forgotten castles, I unearthed the ""Shadowstealer Elixir,"" a concoction born from shadows and oil. It granted me the power to fade into the inky blackness, stealing both sight and strength from my adversaries. A relic of an ancient oil mage, its secrets remained locked until my arrival. #1",dream_TradingCard (5).jpg,Starling
4final.png, Real Fairies in Bottles 1,Giggle,Earth,Nature,Cherries A #2,Watermellon B #1,777 C #1,"Lunar Luminescence 700 ap costs 4 sp: Moonbeam fairies harness the power of moonlight to create a blinding burst of radiant energy, temporarily blinding and disorienting their opponents.",Brown,1200,100 #1,20,"Vesper Nightshade (Oil): Within the dimly lit chambers of forgotten castles, I unearthed the ""Shadowstealer Elixir,"" a concoction born from shadows and oil. It granted me the power to fade into the inky blackness, stealing both sight and strength from my adversaries. A relic of an ancient oil mage, its secrets remained locked until my arrival. #1",dream_TradingCard (4).jpg,Root
5final.png, Real Fairies in Bottles 1,Heart,Earth,Nature,777 A,777 B,777 C #2,"Vanishing Mirage 1000 ap costs 5 sp: Whisperwind fairies have the ability to create illusionary duplicates of themselves that confuse and mislead opponents, making it hard to predict their actual moves.
These special attack abilities add depth and intrigue to the ""Fairy Emotions"" game, making each fairy unique and bringing their respective lores to life.",Hazel,1200,150,20,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",dream_TradingCard (6).jpg,Blossom
6final.png, Real Fairies in Bottles 1,Wisdom,Crystal,Nature,Watermellon A #1,Cherries B,777 C #1,"Vanishing Mirage 1000 ap costs 5 sp: Whisperwind fairies have the ability to create illusionary duplicates of themselves that confuse and mislead opponents, making it hard to predict their actual moves.
These special attack abilities add depth and intrigue to the ""Fairy Emotions"" game, making each fairy unique and bringing their respective lores to life.",Red,1200,250,19,"Aurora Fireheart (Sun): Behold, the ""Solar Ignition Brew""! As I consumed it, I found myself ablaze with the sun's fiery essence, radiating brilliance and the raw power of solar flames. This potion, said to be forged in the heart of a dying star, transformed me into a celestial inferno, incinerating all who dared to challenge me. #1",dream_TradingCard (8).jpg,Dewdrop
7final.png, Real Fairies in Bottles 1,Wisdom,Crystal,Dark,Watermellon A #1,Cherries B,Watermellon C,"Love's Embrace 500 ap costs 3 sp: Heartbeat fairies have the power to envelop an opponent in a warm, soothing aura of love and affection, distracting them and making it difficult for them to focus on attacking.",Brown,1800,100 #1,18,"Aurora Fireheart (Sun): Behold, the ""Solar Ignition Brew""! As I consumed it, I found myself ablaze with the sun's fiery essence, radiating brilliance and the raw power of solar flames. This potion, said to be forged in the heart of a dying star, transformed me into a celestial inferno, incinerating all who dared to challenge me. #1",dream_TradingCard (4).jpg,Breezelyn
8final.png, Real Fairies in Bottles 1,Wisdom,Crystal,Dark,Cherries A #1,777 B #1,Cherries C,"Vanishing Mirage 1000 ap costs 5 sp: Whisperwind fairies have the ability to create illusionary duplicates of themselves that confuse and mislead opponents, making it hard to predict their actual moves.
These special attack abilities add depth and intrigue to the ""Fairy Emotions"" game, making each fairy unique and bringing their respective lores to life.",Red,2000,100 ...,20,"Solara Dawnbringer (Sun): The ""Lustrous Dawn Serum"" unveiled the sun's innermost secrets, infusing me with radiant might. Bathed in the aura of dawn, this potion bestowed me with the power to heal and revive, casting aside darkness wherever I roamed. They say it was bestowed upon the realm by a benevolent sun deity, a guardian of hope. #1",dream_TradingCard (5).jpg,Ivy
9final.png, Real Fairies in Bottles 1,Wisdom,Crystal,Light,Watermellon A,Watermellon B #1,777 C,"Lunar Luminescence 700 ap costs 4 sp: Moonbeam fairies harness the power of moonlight to create a blinding burst of radiant energy, temporarily blinding and disorienting their opponents.",Green,2000,250,19,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",dream_TradingCard (6).jpg,Ferna
10final.png, Real Fairies in Bottles 1,Wisdom,Earth,Dark,Watermellon A #1,777 B #1,777 C #2,"Ancient Insight 800 ap costs 4sp : Wisdom fairies can call upon the wisdom of their ancestors, gaining knowledge and guidance to make strategic moves. This ability enhances their decision",Hazel,2000,100 #1,19,"Luna Tidesong (Moon): In the realm of Real Potions & Spells, I discovered the ""Lunar Elixir,"" a potion crafted under the pale moon's gentle gaze. Sipping from its glass vial, I felt my essence align with the celestial dance of the night, casting ethereal moonbeams to ensnare my foes. Legends say it was created by a mystical moon",dream_TradingCard (6).jpg,Starling
